card_name,play_to_keep_rate,keep_rate,kept_in_starting_hand,kept_and_played,kept_but_not_played,buy_to_draft_rate,buy_to_draft_1_rate,buy_to_draft_2_rate,buy_to_draft_3_rate,buy_to_draft_4_rate,draft_1_buys,draft_2_buys,draft_3_buys,draft_4_buys,business_contacts_keep_rate,business_network_buy_rate,invention_contest_keep_rate,inventors_guild_buy_rate,draft_1_rate,draft_3_rate,card_buy_through_card_rate
Toll Station,0.3793,0,29,11,18,0.2201,0.6359,0.3911,0.2298,0.0959,117,140,151,112,0.2526,0.2059,0.1625,0.2797,0.0625,0.2231,0.2402
Towing a Comet,0.9634,0,766,738,28,0.8455,0.9317,0.89,0.7223,0.4866,1323,1003,385,145,0.6944,0.64,0.5,0.7194,0.4825,0.1811,0.6818
Trans-Neptune Probe,0.8904,0,575,512,63,0.8308,0.9008,0.8581,0.7977,0.6915,717,895,749,269,0.703,0.7984,0.3971,0.7982,0.2602,0.307,0.7983
Trees,0.8196,0,571,468,103,0.887,0.9681,0.9303,0.8356,0.7222,1000,948,747,364,0.7053,0.7744,0.4675,0.843,0.3407,0.2949,0.8071
Tropical Resort,0.6429,0,14,9,5,0.2145,0.5948,0.3892,0.279,0.1066,69,123,231,151,0.1392,0.2,0.0617,0.2143,0.0393,0.2804,0.2062
Tundra Farming,0.7835,0,97,76,21,0.4795,0.8258,0.6895,0.4563,0.2559,256,373,407,229,0.4571,0.4867,0.25,0.3652,0.1052,0.3028,0.4254
Underground City,0.9059,0,202,183,19,0.4615,0.6702,0.5508,0.3944,0.2885,313,320,310,161,0.4045,0.3821,0.2857,0.35,0.1554,0.2616,0.3663
Underground Detonations,0.5714,0,7,4,3,0.0296,0.5,0.2105,0.0355,0.0274,1,4,6,67,0.0182,0.0233,0.0,0.0263,0.0007,0.0569,0.0247
Urbanized Area,0.6875,0,96,66,30,0.4705,0.8151,0.5635,0.3917,0.2674,379,315,320,196,0.4272,0.5575,0.2466,0.5688,0.152,0.2671,0.5631
Vesta Shipyard,0.9711,0,589,572,17,0.5703,0.6655,0.6247,0.4552,0.3466,587,456,244,96,0.5179,0.5364,0.3523,0.5546,0.2889,0.1756,0.5459
Viral Enhancers,0.9936,0,783,778,5,0.9572,0.974,0.9569,0.8918,0.7857,2138,999,239,88,0.9286,0.8931,0.8197,0.944,0.7211,0.088,0.918
